lens_type,stage,store_location,inventory_available,elapsed_hours,sla_hours,days_in_current_stage,breached
Bifocal,Order Placed,Bangalore,1,46,48,1,0
Bifocal,Lens Allocated,Mumbai,0,93,48,3,1
Bifocal,Production,Durgapur,0,7,48,5,1
Single Vision,Lens Allocated,Mumbai,1,21,24,5,1
Bifocal,Shipped,Delhi,1,55,48,3,1
Progressive,Prescription Verified,Bangalore,1,5,72,2,0
Single Vision,Production,Delhi,1,46,24,3,1
Single Vision,Lens Allocated,Bangalore,1,6,24,5,0
Progressive,Order Placed,Durgapur,0,34,72,1,0
Progressive,Lens Allocated,Delhi,1,78,72,4,1
Single Vision,Lens Allocated,Durgapur,1,15,24,0,0
Single Vision,Prescription Verified,Delhi,0,21,24,1,1
Single Vision,Production,Kolkata,1,26,24,1,1
Bifocal,Order Placed,Durgapur,1,66,48,2,1
Bifocal,QC,Durgapur,1,50,48,0,1
Progressive,Shipped,Delhi,1,88,72,4,1
Bifocal,Prescription Verified,Kolkata,0,70,48,3,1
Single Vision,Prescription Verified,Durgapur,1,94,24,1,1
Progressive,Prescription Verified,Delhi,1,70,72,4,1
Progressive,Packed,Bangalore,0,93,72,0,1
Progressive,Shipped,Mumbai,0,40,72,4,1
Progressive,Packed,Mumbai,1,93,72,1,1
Progressive,Shipped,Delhi,0,83,72,3,1
Single Vision,Shipped,Bangalore,0,51,24,0,1
Single Vision,Lens Allocated,Kolkata,1,47,24,4,1
Bifocal,Production,Delhi,1,48,48,3,1
Bifocal,Packed,Mumbai,0,10,48,2,0
Bifocal,Packed,Bangalore,1,42,48,0,0
Bifocal,Prescription Verified,Delhi,1,53,48,0,0
Bifocal,Shipped,Bangalore,0,75,48,3,1
Single Vision,Packed,Kolkata,1,47,24,3,1
Bifocal,Order Placed,Mumbai,1,90,48,2,0
Bifocal,Prescription Verified,Mumbai,1,40,48,3,0
Progressive,Shipped,Bangalore,1,58,72,3,1
Single Vision,Prescription Verified,Mumbai,0,98,24,2,1
Single Vision,Shipped,Bangalore,1,70,24,5,1
Single Vision,QC,Mumbai,1,21,24,0,1
Single Vision,Lens Allocated,Delhi,1,15,24,4,0
Single Vision,Packed,Kolkata,0,5,24,0,0
Progressive,Lens Allocated,Mumbai,0,78,72,1,1
Single Vision,Prescription Verified,Kolkata,0,20,24,1,1
Progressive,Order Placed,Bangalore,1,23,72,3,0
Single Vision,Packed,Delhi,0,57,24,4,1
Bifocal,Order Placed,Durgapur,0,83,48,1,1
Single Vision,Prescription Verified,Bangalore,1,11,24,4,0
Bifocal,Packed,Mumbai,0,39,48,4,1
Bifocal,Order Placed,Kolkata,0,21,48,5,1
Bifocal,QC,Delhi,1,23,48,1,0
Single Vision,Packed,Delhi,1,72,24,5,1
Single Vision,Production,Bangalore,0,63,24,0,1
Progressive,Prescription Verified,Delhi,1,12,72,5,0
Progressive,Prescription Verified,Kolkata,1,63,72,5,1
Single Vision,Packed,Bangalore,0,35,24,5,1
Single Vision,Production,Bangalore,0,63,24,3,0
Single Vision,Production,Mumbai,0,58,24,4,1
Single Vision,QC,Mumbai,1,97,24,1,1
Bifocal,Prescription Verified,Bangalore,0,22,48,5,1
Bifocal,Shipped,Durgapur,1,9,48,3,0
Progressive,Production,Bangalore,1,75,72,0,1
Single Vision,Prescription Verified,Delhi,1,64,24,3,1
Bifocal,Production,Kolkata,1,65,48,1,1
Single Vision,Order Placed,Kolkata,0,8,24,3,1
Progressive,Packed,Mumbai,0,51,72,4,1
Bifocal,Lens Allocated,Durgapur,0,53,48,4,1
Progressive,Packed,Durgapur,0,14,72,2,0
Single Vision,Packed,Mumbai,0,88,24,5,1
Single Vision,Shipped,Kolkata,1,65,24,5,1
Bifocal,Packed,Bangalore,0,87,48,0,1
Single Vision,Lens Allocated,Kolkata,1,18,24,5,0
Single Vision,QC,Mumbai,1,27,24,2,1
Single Vision,Shipped,Delhi,0,53,24,0,1
Progressive,Prescription Verified,Delhi,1,98,72,0,1
Bifocal,Shipped,Mumbai,1,72,48,4,1
Progressive,Prescription Verified,Mumbai,1,88,72,1,1
Bifocal,QC,Mumbai,1,28,48,2,1
Progressive,Prescription Verified,Kolkata,1,31,72,2,0
Progressive,Lens Allocated,Delhi,1,66,72,1,1
Bifocal,Lens Allocated,Durgapur,1,20,48,2,0
Progressive,Packed,Bangalore,0,88,72,3,1
Single Vision,Packed,Durgapur,0,69,24,1,1
Single Vision,QC,Mumbai,1,28,24,2,1
Bifocal,Prescription Verified,Delhi,1,88,48,2,0
Bifocal,Lens Allocated,Mumbai,1,8,48,5,0
Single Vision,QC,Mumbai,1,82,24,4,1
Single Vision,Order Placed,Mumbai,0,32,24,4,1
Single Vision,Shipped,Mumbai,0,20,24,3,1
Progressive,Production,Delhi,1,98,72,3,1
Progressive,Packed,Delhi,0,38,72,3,1
Progressive,Packed,Mumbai,0,53,72,0,1
Bifocal,Packed,Durgapur,1,55,48,2,1
Single Vision,Shipped,Delhi,1,20,24,0,0
Single Vision,Shipped,Durgapur,1,3,24,3,0
Bifocal,Shipped,Mumbai,1,9,48,3,0
Single Vision,QC,Mumbai,1,28,24,5,0
Progressive,QC,Bangalore,1,2,72,3,1
Progressive,Packed,Mumbai,1,11,72,3,0
Single Vision,Prescription Verified,Mumbai,0,55,24,5,1
Single Vision,Production,Mumbai,1,16,24,3,1
Single Vision,QC,Mumbai,0,46,24,5,1
Bifocal,Order Placed,Bangalore,1,98,48,2,0
Single Vision,Packed,Mumbai,1,61,24,3,1
Progressive,Lens Allocated,Bangalore,0,86,72,4,1
Progressive,Shipped,Mumbai,0,27,72,3,1
Single Vision,Lens Allocated,Durgapur,1,29,24,4,1
Progressive,QC,Kolkata,0,78,72,0,1
Progressive,Prescription Verified,Durgapur,0,46,72,3,1
Single Vision,Prescription Verified,Kolkata,1,38,24,3,1
Bifocal,Packed,Bangalore,0,76,48,0,1
Single Vision,Order Placed,Kolkata,0,93,24,1,1
Single Vision,Lens Allocated,Mumbai,1,16,24,1,1
Single Vision,Order Placed,Mumbai,0,46,24,4,1
Bifocal,Shipped,Kolkata,0,53,48,5,1
Progressive,QC,Kolkata,0,47,72,0,1
Progressive,Order Placed,Kolkata,1,85,72,0,1
Bifocal,Shipped,Durgapur,1,40,48,4,1
Bifocal,Production,Durgapur,1,25,48,5,0
Single Vision,Prescription Verified,Mumbai,1,27,24,2,0
Progressive,Shipped,Bangalore,0,9,72,1,0
Single Vision,Order Placed,Durgapur,1,74,24,4,0
Progressive,Prescription Verified,Mumbai,1,28,72,5,0
Single Vision,Production,Bangalore,0,58,24,2,1
Progressive,Lens Allocated,Mumbai,0,46,72,1,1
Progressive,Shipped,Durgapur,0,87,72,4,1
Single Vision,Packed,Durgapur,0,3,24,5,1
Progressive,Prescription Verified,Mumbai,0,19,72,2,1
Progressive,Lens Allocated,Mumbai,1,26,72,0,0
Bifocal,Packed,Bangalore,1,21,48,1,0
Progressive,Order Placed,Delhi,1,8,72,5,0
Progressive,Shipped,Kolkata,1,37,72,3,0
Single Vision,Prescription Verified,Kolkata,1,60,24,2,1
Progressive,QC,Kolkata,0,6,72,3,1
Bifocal,Lens Allocated,Delhi,0,74,48,3,1
Bifocal,QC,Mumbai,0,63,48,0,1
Progressive,Prescription Verified,Kolkata,0,36,72,4,0
Progressive,Shipped,Delhi,0,52,72,4,0
Progressive,Prescription Verified,Durgapur,0,42,72,5,1
Bifocal,Production,Kolkata,1,96,48,0,1
Single Vision,Prescription Verified,Kolkata,1,15,24,1,0
Single Vision,QC,Durgapur,0,94,24,1,1
Progressive,Packed,Delhi,0,30,72,2,0
Single Vision,Prescription Verified,Delhi,1,97,24,0,0
Single Vision,QC,Delhi,1,52,24,4,0
Bifocal,Production,Delhi,1,36,48,3,1
Progressive,Production,Bangalore,0,51,72,4,1
Progressive,QC,Delhi,1,68,72,3,1
Progressive,Shipped,Durgapur,0,6,72,1,0
Progressive,Shipped,Bangalore,1,91,72,2,1
Single Vision,Packed,Mumbai,0,94,24,4,1
Single Vision,Order Placed,Durgapur,1,56,24,5,1
Single Vision,Prescription Verified,Bangalore,1,34,24,3,1
Single Vision,Packed,Delhi,0,96,24,1,1
Single Vision,Lens Allocated,Delhi,0,33,24,4,0
Bifocal,Lens Allocated,Kolkata,1,30,48,5,0
Single Vision,Packed,Delhi,1,55,24,2,0
Progressive,Packed,Kolkata,0,48,72,0,1
Progressive,Prescription Verified,Bangalore,1,37,72,1,1
Bifocal,Order Placed,Mumbai,1,2,48,1,0
Bifocal,Lens Allocated,Mumbai,0,37,48,2,1
Progressive,QC,Durgapur,1,31,72,4,1
Single Vision,Shipped,Mumbai,0,64,24,4,1
Progressive,Packed,Mumbai,0,86,72,1,1
Single Vision,Order Placed,Kolkata,1,9,24,5,0
Progressive,QC,Kolkata,1,91,72,2,1
Bifocal,Prescription Verified,Delhi,0,35,48,5,1
Bifocal,QC,Delhi,0,21,48,2,1
Progressive,QC,Bangalore,0,88,72,0,1
Single Vision,Prescription Verified,Durgapur,0,40,24,5,1
Single Vision,Shipped,Kolkata,1,21,24,0,0
Progressive,Packed,Durgapur,1,23,72,2,0
Progressive,Lens Allocated,Bangalore,0,22,72,4,1
Bifocal,QC,Delhi,1,44,48,2,1
Single Vision,QC,Bangalore,1,35,24,4,1
Single Vision,Shipped,Durgapur,0,22,24,0,0
Progressive,Production,Delhi,0,43,72,4,1
Single Vision,Lens Allocated,Kolkata,0,93,24,4,1
Single Vision,Lens Allocated,Kolkata,0,27,24,3,1
Progressive,Prescription Verified,Mumbai,0,5,72,5,1
Single Vision,Lens Allocated,Kolkata,1,29,24,5,1
Bifocal,Production,Delhi,0,42,48,3,1
Progressive,Lens Allocated,Kolkata,1,51,72,5,1
Bifocal,Shipped,Delhi,0,95,48,4,1
Single Vision,Shipped,Mumbai,1,86,24,0,0
Progressive,Prescription Verified,Delhi,0,5,72,3,1
Progressive,Packed,Delhi,1,88,72,3,1
Bifocal,Lens Allocated,Delhi,1,1,48,0,0
Bifocal,QC,Bangalore,0,77,48,5,1
Bifocal,Lens Allocated,Delhi,0,10,48,4,1
Single Vision,Lens Allocated,Mumbai,0,75,24,0,1
Progressive,Shipped,Mumbai,1,16,72,4,1
Progressive,Lens Allocated,Mumbai,1,70,72,0,1
Bifocal,QC,Bangalore,0,71,48,2,1
Bifocal,Prescription Verified,Delhi,1,52,48,5,1
Single Vision,Order Placed,Kolkata,0,3,24,5,1
Progressive,Prescription Verified,Bangalore,0,25,72,4,1
Progressive,Order Placed,Delhi,1,21,72,1,0
Bifocal,Prescription Verified,Mumbai,0,33,48,0,1
Single Vision,Lens Allocated,Bangalore,0,74,24,4,1
Progressive,Lens Allocated,Durgapur,0,44,72,2,1
Single Vision,QC,Kolkata,1,1,24,2,1
Single Vision,Lens Allocated,Kolkata,1,69,24,3,1
Single Vision,Lens Allocated,Durgapur,0,92,24,4,1
Progressive,Shipped,Mumbai,1,100,72,4,1
Bifocal,QC,Durgapur,1,95,48,5,1
Bifocal,Production,Mumbai,1,91,48,5,1
Single Vision,Order Placed,Mumbai,1,63,24,3,0
Single Vision,QC,Durgapur,0,20,24,5,1
Progressive,Production,Mumbai,1,65,72,3,1
Bifocal,Shipped,Durgapur,1,100,48,4,1
Bifocal,Shipped,Durgapur,1,84,48,2,1
Bifocal,Shipped,Delhi,0,38,48,4,1
Bifocal,Prescription Verified,Kolkata,0,35,48,5,1
Single Vision,Shipped,Mumbai,0,8,24,5,1
Progressive,Packed,Bangalore,1,72,72,3,1
Progressive,Order Placed,Mumbai,0,74,72,4,1
Single Vision,Shipped,Delhi,1,11,24,1,0
Single Vision,Production,Mumbai,1,38,24,1,1
Single Vision,Order Placed,Kolkata,1,6,24,1,0
Progressive,Production,Kolkata,0,3,72,5,1
Single Vision,Prescription Verified,Durgapur,0,48,24,3,0
Bifocal,QC,Kolkata,0,8,48,0,1
Progressive,Prescription Verified,Durgapur,0,61,72,1,0
Bifocal,Order Placed,Bangalore,0,5,48,4,0
Progressive,Production,Kolkata,0,16,72,3,1
Progressive,Prescription Verified,Bangalore,1,40,72,0,0
Progressive,Order Placed,Durgapur,1,83,72,1,1
Bifocal,Production,Mumbai,1,84,48,1,1
Single Vision,Production,Delhi,1,50,24,4,1
Progressive,Lens Allocated,Kolkata,1,97,72,5,1
Single Vision,Production,Durgapur,0,56,24,0,1
Progressive,Lens Allocated,Durgapur,0,65,72,5,1
Progressive,Shipped,Mumbai,0,58,72,0,1
Progressive,Order Placed,Mumbai,1,74,72,2,1
Bifocal,Packed,Mumbai,1,32,48,2,0
Progressive,Production,Delhi,0,36,72,3,1
Single Vision,Prescription Verified,Delhi,1,44,24,4,1
Bifocal,Lens Allocated,Kolkata,1,47,48,3,1
Single Vision,QC,Mumbai,0,92,24,3,1
Bifocal,QC,Durgapur,1,17,48,4,0
Bifocal,Shipped,Mumbai,1,14,48,4,0
Single Vision,Prescription Verified,Kolkata,1,32,24,2,0
Progressive,Lens Allocated,Mumbai,1,14,72,4,0
Progressive,Production,Bangalore,0,20,72,3,1
Single Vision,QC,Kolkata,0,21,24,5,1
Progressive,Lens Allocated,Bangalore,1,86,72,5,1
Progressive,Production,Bangalore,1,28,72,4,0
Bifocal,Lens Allocated,Bangalore,1,88,48,0,0
Single Vision,Shipped,Bangalore,0,38,24,5,1
Single Vision,Prescription Verified,Mumbai,0,91,24,5,0
Bifocal,Order Placed,Bangalore,1,7,48,0,0
Progressive,Lens Allocated,Kolkata,0,27,72,2,1
Bifocal,Lens Allocated,Durgapur,1,52,48,3,1
Bifocal,Production,Durgapur,0,13,48,5,1
Progressive,QC,Mumbai,0,36,72,5,1
Single Vision,Shipped,Bangalore,0,16,24,1,1
Bifocal,Production,Mumbai,1,2,48,3,0
Single Vision,Lens Allocated,Bangalore,0,60,24,2,1
Progressive,Order Placed,Bangalore,0,3,72,4,1
Progressive,Order Placed,Delhi,1,40,72,2,0
Progressive,Production,Durgapur,0,90,72,1,1
Bifocal,Lens Allocated,Mumbai,1,55,48,2,0
Bifocal,Prescription Verified,Bangalore,1,78,48,4,1
Bifocal,Shipped,Delhi,0,66,48,3,1
Bifocal,QC,Delhi,0,85,48,0,1
Single Vision,Order Placed,Durgapur,1,26,24,0,0
Bifocal,Order Placed,Bangalore,1,82,48,5,1
Single Vision,Production,Mumbai,0,5,24,0,1
Single Vision,Lens Allocated,Bangalore,0,25,24,0,1
Single Vision,Lens Allocated,Durgapur,0,96,24,2,1
Bifocal,Lens Allocated,Bangalore,1,16,48,0,1
Progressive,Packed,Kolkata,1,73,72,5,1
Bifocal,Lens Allocated,Delhi,0,58,48,1,1
Progressive,Lens Allocated,Bangalore,0,61,72,5,0
Bifocal,Lens Allocated,Kolkata,0,48,48,5,1
Bifocal,Production,Durgapur,1,68,48,1,0
Bifocal,Packed,Kolkata,1,96,48,3,1
Single Vision,Prescription Verified,Durgapur,0,84,24,2,1
Progressive,Production,Kolkata,1,24,72,3,0
Progressive,QC,Delhi,0,2,72,5,1
Bifocal,Order Placed,Mumbai,1,57,48,0,0
Progressive,Prescription Verified,Kolkata,1,73,72,5,1
Bifocal,Order Placed,Bangalore,0,59,48,2,1
Bifocal,Packed,Mumbai,0,59,48,3,1
Bifocal,Packed,Kolkata,1,75,48,1,1
Progressive,Production,Delhi,0,11,72,5,1
Bifocal,Prescription Verified,Mumbai,1,45,48,5,1
Bifocal,Lens Allocated,Durgapur,0,4,48,3,1
Bifocal,QC,Durgapur,1,95,48,1,1
Bifocal,Prescription Verified,Durgapur,1,71,48,3,1
Bifocal,QC,Delhi,1,39,48,0,1
Bifocal,Order Placed,Mumbai,1,82,48,4,1
Single Vision,QC,Mumbai,0,58,24,2,1
Bifocal,Prescription Verified,Delhi,1,45,48,4,1
Progressive,Packed,Mumbai,0,85,72,3,1
Bifocal,Packed,Delhi,1,41,48,4,1
Bifocal,QC,Delhi,1,60,48,1,1
Progressive,Shipped,Delhi,0,13,72,1,1
Bifocal,Packed,Delhi,1,88,48,2,0
Progressive,Lens Allocated,Mumbai,1,99,72,1,1
Progressive,Packed,Kolkata,0,43,72,2,0
Single Vision,Prescription Verified,Delhi,0,98,24,1,1
Bifocal,QC,Delhi,0,51,48,0,1
Bifocal,Production,Durgapur,0,20,48,0,1
Bifocal,Prescription Verified,Mumbai,1,13,48,1,0
Progressive,Shipped,Durgapur,1,72,72,4,1
Single Vision,Shipped,Durgapur,1,64,24,3,1
Bifocal,Packed,Mumbai,1,52,48,1,0
Bifocal,Order Placed,Mumbai,1,48,48,1,0
Bifocal,Shipped,Bangalore,0,80,48,5,1
Single Vision,Order Placed,Kolkata,0,1,24,4,1
Single Vision,Shipped,Bangalore,0,60,24,0,0
Progressive,Lens Allocated,Delhi,0,63,72,0,1
Progressive,Lens Allocated,Kolkata,1,35,72,0,0
Bifocal,Order Placed,Durgapur,0,98,48,5,1
Bifocal,QC,Delhi,1,13,48,1,0
Single Vision,Lens Allocated,Kolkata,1,6,24,2,1
Bifocal,QC,Delhi,0,11,48,3,1
Single Vision,Lens Allocated,Durgapur,0,17,24,3,1
Bifocal,Production,Mumbai,0,11,48,4,1
Bifocal,Lens Allocated,Bangalore,1,55,48,1,0
Progressive,Prescription Verified,Bangalore,0,13,72,1,1
Bifocal,Prescription Verified,Bangalore,0,12,48,5,1
Single Vision,Prescription Verified,Mumbai,0,32,24,1,1
Single Vision,QC,Mumbai,1,6,24,1,0
Progressive,Shipped,Mumbai,1,83,72,0,1
Progressive,Packed,Delhi,0,38,72,4,1
Single Vision,Shipped,Kolkata,0,97,24,4,1
Progressive,Order Placed,Bangalore,1,20,72,1,0
Progressive,Shipped,Bangalore,0,5,72,2,0
Progressive,Lens Allocated,Kolkata,1,84,72,2,1
Progressive,Shipped,Mumbai,1,10,72,2,0
Single Vision,Order Placed,Delhi,1,64,24,0,0
Single Vision,Packed,Bangalore,0,7,24,2,0
Single Vision,QC,Kolkata,0,34,24,0,1
Progressive,Packed,Mumbai,0,69,72,0,0
Bifocal,Lens Allocated,Delhi,0,17,48,3,0
Single Vision,Packed,Delhi,0,42,24,0,1
Single Vision,Shipped,Mumbai,0,62,24,0,1
Bifocal,Packed,Mumbai,1,39,48,0,0
Progressive,Production,Delhi,1,12,72,1,0
Single Vision,Lens Allocated,Kolkata,1,51,24,5,1
Progressive,Shipped,Mumbai,0,6,72,0,1
Single Vision,Production,Durgapur,1,50,24,2,1
Progressive,Lens Allocated,Mumbai,0,59,72,5,1
Progressive,Order Placed,Durgapur,1,96,72,1,1
Bifocal,Production,Mumbai,1,24,48,4,0
Single Vision,QC,Delhi,0,70,24,2,1
Bifocal,QC,Kolkata,1,92,48,1,1
Bifocal,Order Placed,Mumbai,1,22,48,2,0
Bifocal,Shipped,Kolkata,0,8,48,0,0
Single Vision,Lens Allocated,Durgapur,0,13,24,2,0
Single Vision,Packed,Delhi,1,90,24,2,0
Bifocal,Packed,Durgapur,0,40,48,4,1
Bifocal,Order Placed,Bangalore,1,25,48,5,0
Bifocal,Lens Allocated,Kolkata,1,1,48,4,0
Bifocal,Production,Bangalore,1,47,48,3,1
Progressive,Production,Mumbai,1,80,72,0,1
Bifocal,Shipped,Delhi,1,58,48,5,1
Bifocal,Production,Kolkata,1,24,48,3,0
Bifocal,Shipped,Mumbai,0,57,48,0,1
Single Vision,Order Placed,Delhi,0,78,24,4,1
Progressive,Prescription Verified,Kolkata,0,42,72,3,1
Progressive,Shipped,Bangalore,0,58,72,1,1
Progressive,Lens Allocated,Mumbai,0,13,72,4,1
Bifocal,Production,Bangalore,0,3,48,4,1
Progressive,Packed,Mumbai,0,66,72,0,1
Bifocal,Production,Kolkata,0,95,48,2,1
Bifocal,Prescription Verified,Bangalore,1,65,48,0,0
Single Vision,Packed,Bangalore,1,74,24,2,0
Bifocal,Packed,Delhi,0,76,48,3,1
Single Vision,Packed,Durgapur,0,61,24,0,1
Single Vision,Lens Allocated,Durgapur,1,2,24,3,0
Bifocal,Lens Allocated,Bangalore,1,78,48,0,0
Single Vision,Prescription Verified,Bangalore,0,34,24,4,1
Single Vision,Lens Allocated,Durgapur,1,81,24,0,1
Single Vision,Packed,Durgapur,0,7,24,2,0
Bifocal,QC,Mumbai,1,77,48,3,1
Progressive,Shipped,Kolkata,1,26,72,4,0
Bifocal,Production,Kolkata,1,92,48,3,1
Bifocal,QC,Durgapur,0,49,48,0,1
Single Vision,QC,Mumbai,0,23,24,1,1
Progressive,Packed,Bangalore,0,90,72,1,1
Bifocal,Production,Delhi,0,84,48,4,1
Progressive,Production,Durgapur,1,77,72,5,1
Progressive,QC,Durgapur,1,98,72,3,1
Single Vision,Prescription Verified,Durgapur,1,71,24,3,1
Single Vision,Production,Mumbai,1,73,24,1,1
Bifocal,Production,Mumbai,1,49,48,5,1
Bifocal,Shipped,Delhi,0,45,48,4,1
Progressive,QC,Mumbai,0,96,72,2,1
Bifocal,Prescription Verified,Durgapur,0,55,48,0,1
Bifocal,Order Placed,Durgapur,1,96,48,2,1
Bifocal,Order Placed,Durgapur,1,75,48,0,0
Bifocal,Prescription Verified,Kolkata,0,58,48,0,1
Progressive,Shipped,Durgapur,0,69,72,0,1
Single Vision,Lens Allocated,Kolkata,0,96,24,5,1
Progressive,Order Placed,Durgapur,1,43,72,3,0
Bifocal,Prescription Verified,Mumbai,1,47,48,5,1
Bifocal,QC,Bangalore,0,92,48,0,1
Progressive,Packed,Bangalore,1,67,72,1,1
Progressive,Production,Durgapur,1,8,72,3,0
Single Vision,Prescription Verified,Mumbai,1,69,24,4,1
Single Vision,Packed,Bangalore,0,53,24,5,1
Progressive,Shipped,Kolkata,0,27,72,4,1
Bifocal,Order Placed,Durgapur,0,69,48,4,1
Single Vision,Packed,Bangalore,0,46,24,5,1
Single Vision,Prescription Verified,Durgapur,0,6,24,2,0
Progressive,Order Placed,Bangalore,1,81,72,0,1
Bifocal,Lens Allocated,Delhi,1,6,48,0,0
Single Vision,Production,Bangalore,0,71,24,5,1
Progressive,Order Placed,Mumbai,1,39,72,2,0
Progressive,Production,Delhi,0,93,72,2,1
Single Vision,Production,Durgapur,0,65,24,0,1
Bifocal,QC,Durgapur,1,24,48,4,0
Bifocal,QC,Durgapur,1,77,48,2,1
Single Vision,Packed,Mumbai,1,93,24,2,0
Progressive,Lens Allocated,Durgapur,0,52,72,0,1
Single Vision,Prescription Verified,Durgapur,1,4,24,4,0
Bifocal,Packed,Mumbai,0,20,48,2,1
Single Vision,Shipped,Mumbai,0,9,24,1,0
Bifocal,Packed,Delhi,1,14,48,1,0
Progressive,Lens Allocated,Mumbai,0,23,72,2,0
Single Vision,Order Placed,Bangalore,0,16,24,4,1
Bifocal,Prescription Verified,Mumbai,0,92,48,4,1
Bifocal,Order Placed,Durgapur,0,73,48,4,1
Single Vision,Prescription Verified,Kolkata,1,37,24,5,0
Bifocal,Shipped,Bangalore,0,26,48,0,0
Bifocal,Lens Allocated,Delhi,0,63,48,4,1
Progressive,Lens Allocated,Mumbai,1,64,72,2,1
Progressive,Lens Allocated,Durgapur,1,75,72,5,1
Bifocal,Production,Bangalore,1,81,48,0,1
Single Vision,QC,Delhi,0,47,24,3,1
Single Vision,Order Placed,Delhi,1,10,24,4,0
Bifocal,Packed,Durgapur,0,46,48,3,0
Progressive,QC,Delhi,1,58,72,2,1
Progressive,Production,Bangalore,0,62,72,5,1
Progressive,QC,Delhi,1,47,72,3,1
Single Vision,Prescription Verified,Bangalore,1,27,24,1,0
Progressive,QC,Kolkata,0,64,72,5,1
Single Vision,QC,Kolkata,0,94,24,3,1
Progressive,Shipped,Mumbai,0,86,72,5,1
Bifocal,Order Placed,Bangalore,1,74,48,3,1
Bifocal,QC,Durgapur,0,94,48,2,1
Single Vision,QC,Mumbai,0,45,24,5,1
Progressive,Shipped,Mumbai,0,43,72,1,0
Progressive,Packed,Mumbai,0,12,72,5,1
Progressive,Packed,Durgapur,1,98,72,3,1
Single Vision,Order Placed,Delhi,0,52,24,3,1
Single Vision,Prescription Verified,Kolkata,1,99,24,2,0
Single Vision,Order Placed,Mumbai,0,75,24,5,1
Progressive,Lens Allocated,Delhi,1,54,72,0,0
Bifocal,QC,Durgapur,1,19,48,3,0
Single Vision,Lens Allocated,Bangalore,1,59,24,5,1
Bifocal,Prescription Verified,Durgapur,1,38,48,2,0
Single Vision,Order Placed,Mumbai,1,19,24,3,0
Progressive,Order Placed,Bangalore,1,22,72,4,1
Single Vision,Order Placed,Delhi,1,94,24,4,0
Single Vision,Production,Kolkata,0,76,24,0,1
Bifocal,QC,Durgapur,1,37,48,2,1
Progressive,Packed,Bangalore,0,13,72,5,1
Bifocal,Packed,Mumbai,1,90,48,3,1
Progressive,QC,Delhi,1,89,72,4,1
Single Vision,Prescription Verified,Durgapur,0,53,24,4,1
Progressive,Production,Bangalore,1,29,72,2,0
Single Vision,Production,Kolkata,0,21,24,2,1
Progressive,Prescription Verified,Mumbai,0,59,72,1,1
Progressive,Prescription Verified,Delhi,1,25,72,5,0
Single Vision,Order Placed,Bangalore,0,17,24,0,1
Progressive,Prescription Verified,Kolkata,1,94,72,5,1
Single Vision,Packed,Bangalore,0,91,24,5,1
Progressive,Production,Mumbai,0,16,72,5,1
Bifocal,Production,Kolkata,1,38,48,3,1
Bifocal,Order Placed,Kolkata,0,38,48,1,1
Single Vision,Prescription Verified,Durgapur,1,41,24,3,1
Progressive,Shipped,Kolkata,1,21,72,3,0
Progressive,Order Placed,Durgapur,0,15,72,3,0
Bifocal,Lens Allocated,Bangalore,0,8,48,5,1
Single Vision,Production,Mumbai,1,92,24,0,1
Single Vision,Production,Delhi,1,18,24,1,0
Progressive,Order Placed,Bangalore,1,66,72,5,1
Single Vision,Production,Delhi,1,60,24,2,1
Single Vision,Production,Delhi,1,15,24,1,0
Single Vision,Order Placed,Kolkata,1,45,24,0,0
Progressive,Shipped,Mumbai,0,9,72,3,1
Single Vision,QC,Delhi,1,82,24,0,1
Bifocal,Shipped,Kolkata,1,13,48,0,0
Single Vision,Order Placed,Bangalore,0,65,24,4,1
Single Vision,Production,Bangalore,0,79,24,3,1
Single Vision,Prescription Verified,Bangalore,1,98,24,3,1
Single Vision,Lens Allocated,Durgapur,0,48,24,5,0
Progressive,Prescription Verified,Mumbai,0,46,72,5,1
Bifocal,Prescription Verified,Durgapur,0,13,48,1,0
Progressive,Production,Mumbai,0,61,72,4,1
Bifocal,Order Placed,Durgapur,1,1,48,0,0
Bifocal,Lens Allocated,Delhi,1,63,48,1,1
Progressive,Prescription Verified,Bangalore,0,48,72,4,1
Progressive,Prescription Verified,Kolkata,1,93,72,3,1
Single Vision,QC,Delhi,1,56,24,5,1
Progressive,Lens Allocated,Delhi,1,22,72,3,0
Bifocal,Shipped,Bangalore,0,28,48,4,1
Progressive,QC,Bangalore,1,55,72,0,0
Single Vision,Shipped,Kolkata,0,59,24,2,1
Progressive,Prescription Verified,Durgapur,0,72,72,0,1
Bifocal,Production,Delhi,0,74,48,4,1
Bifocal,Lens Allocated,Kolkata,0,95,48,4,1
Progressive,QC,Kolkata,0,83,72,2,1
Bifocal,Lens Allocated,Delhi,1,64,48,2,1
Bifocal,Lens Allocated,Delhi,0,2,48,2,0
Bifocal,Packed,Mumbai,0,60,48,0,1
Single Vision,Shipped,Bangalore,0,16,24,4,1
Bifocal,QC,Kolkata,0,65,48,3,1
Single Vision,QC,Delhi,1,95,24,5,1
Single Vision,Packed,Delhi,1,82,24,2,0
Bifocal,Order Placed,Durgapur,0,68,48,5,1
Bifocal,Packed,Bangalore,0,49,48,0,1
Bifocal,Prescription Verified,Delhi,1,76,48,1,0
Bifocal,Lens Allocated,Bangalore,0,22,48,2,0
Single Vision,Prescription Verified,Mumbai,0,94,24,1,1
Progressive,QC,Delhi,1,96,72,1,1
